File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\ClickableLabel.cpp,166,123,76,16,28,0,15,54,0,0
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\ColorChannelViewer.cpp,102,71,50,3,24,0,7,42,0,0
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\CPU.cpp,193,128,87,20,38,0,27,83,0,0
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\cvHandler.cpp,187,72,46,10,36,1,79,308,0,0
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\Export.cpp,59,44,24,4,11,0,4,9,0,0
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\FileExplorer.cpp,18,11,5,0,7,0,0,0,0,0
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\GUI.cpp,152,109,61,8,28,0,15,49,0,0
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\main.cpp,17,12,5,1,3,0,2,5,0,0
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\MenuBar.cpp,30,18,9,1,6,0,6,27,0,0
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\Metadata.cpp,79,61,49,0,17,0,1,9,0,0
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\MultiGPU.cpp,130,91,62,13,25,0,14,46,0,0
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\PixmapLabel.cpp,106,51,31,3,13,0,42,144,0,0
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\ProgressBar.cpp,20,14,6,0,6,0,0,0,0,0
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\ResizableRubberband.cpp,176,122,87,13,24,0,30,63,0,0
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\SingleGPU.cpp,191,130,96,17,42,0,19,52,0,0
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\singleGPUCUDA.cpp,28,17,11,3,5,0,6,16,0,0
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\stdafx.cpp,2,1,0,0,1,0,0,0,0,0
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,2831,2220,1489,424,452,36,159,1162,0,0
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\ClickableLabel.h,64,48,29,0,12,0,4,10,0,0
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\ColorChannelViewer.h,39,29,15,0,10,0,0,0,0,0
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\CPU.h,29,22,10,0,7,0,0,0,0,0
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\DrawHandler.h,17,12,6,0,5,0,0,0,0,0
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\Export.h,24,17,8,0,7,0,0,0,0,0
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\FileExplorer.h,15,10,5,0,5,0,0,0,0,0
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\GUI.h,49,35,22,0,12,0,2,4,0,0
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\Metadata.h,20,14,6,0,6,0,0,0,0,0
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\MultiGPU.h,24,18,9,0,6,0,0,0,0,0
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\PixmapLabel.h,43,29,16,0,12,0,2,5,0,0
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\ProgressBar.h,20,14,6,0,6,0,0,0,0,0
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\ResizableRubberband.h,54,38,24,0,12,0,4,10,0,0
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\SingleGPU.h,24,18,9,0,6,0,0,0,0,0
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\stdafx.h,2,1,0,0,1,0,0,0,0,0
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\GeneratedFiles\qrc_GUI.cpp,47,33,12,2,7,0,7,29,7,29
