File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\ClickableLabel.cpp,"ClickableLabel::ClickableLabel(QWidget* parent, Qt::WindowFlags f)",3,3,3,0,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\ClickableLabel.cpp,ClickableLabel::~ClickableLabel(),2,1,1,0,0,0,1,3,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\ClickableLabel.cpp,ClickableLabel::getROI(),2,1,1,0,0,0,1,2,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\ClickableLabel.cpp,ClickableLabel::passToGUI(int num),9,8,6,3,1,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\ClickableLabel.cpp,ClickableLabel::mousePressEvent(QMouseEvent* event),12,12,9,2,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\ClickableLabel.cpp,ClickableLabel::mouseMoveEvent(QMouseEvent * event),7,4,3,1,0,0,3,5,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\ClickableLabel.cpp,ClickableLabel::mouseReleaseEvent(QMouseEvent * event),11,11,8,2,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\ClickableLabel.cpp,ClickableLabel::showContextMenu(const QPoint &pos),10,7,7,0,1,0,2,9,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\ClickableLabel.cpp,ClickableLabel::setSelection(QString c),3,2,2,0,0,0,1,7,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\ClickableLabel.cpp,ClickableLabel::RGBHandler(),7,7,5,1,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\ClickableLabel.cpp,ClickableLabel::colorWidgetDestroyed(QObject *e),3,3,3,0,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\ClickableLabel.cpp,ClickableLabel::setPix(QString file),14,9,9,0,2,0,3,16,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\ClickableLabel.cpp,ClickableLabel::getPix(),2,2,2,1,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\ClickableLabel.cpp,ClickableLabel::getRubberbands() const,2,2,2,1,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\ClickableLabel.cpp,ClickableLabel::removeRubberBand(int rb),18,18,14,5,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\ColorChannelViewer.cpp,ColorChannelViewer::ColorChannelViewer(),3,2,2,0,1,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\ColorChannelViewer.cpp,ColorChannelViewer::~ColorChannelViewer(),1,1,1,0,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\ColorChannelViewer.cpp,ColorChannelViewer::init(cv::Mat image),14,11,11,0,3,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\ColorChannelViewer.cpp,"ColorChannelViewer::displayRGB(QString title, QWidget* parent)",50,39,32,2,7,0,4,26,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\ColorChannelViewer.cpp,ColorChannelViewer::windowDestroyed(),5,5,4,1,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\CPU.cpp,"CPU::CPU(QStringList filenames, const std::vector<std::unique_ptr<ResizableRubberband> > *rbs, QString saveName, bool check, bool fpsChecked, int fpsValue)",111,69,52,13,20,0,22,73,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\CPU.cpp,"CPU::printResults(double time, QString saveName, size_t Size)",18,13,9,3,3,0,2,6,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\CPU.cpp,CPU::~CPU(),1,1,1,0,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\CPU.cpp,CPU::snowFilterDebug(cv::Mat &roi),23,17,16,2,3,0,3,4,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\CPU.cpp,CPU::cloudFilterDebug(cv::Mat &roi),15,10,9,2,5,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\cvHandler.cpp,GUI::testResults(std::vector<ResizableRubberband*> rbs),99,43,33,7,17,1,39,156,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\cvHandler.cpp,GUI::threadExport(),22,1,1,0,1,0,20,92,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\cvHandler.cpp,GUI::exportData(),38,14,11,3,5,0,19,53,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\Export.cpp,Export::Export(QWidget *parent),12,9,8,1,2,0,1,2,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\Export.cpp,Export::~Export(),1,1,1,0,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\Export.cpp,Export::accept(),17,13,10,2,1,0,3,7,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\Export.cpp,Export::videoExport(int state),7,7,5,1,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\FileExplorer.cpp,FileExplorer::FileExplorer(),2,2,2,0,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\FileExplorer.cpp,FileExplorer::~FileExplorer(),3,3,3,0,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\GUI.cpp,GUI::GUI(QWidget *parent),18,10,10,0,4,0,4,12,
